rank,player,score,pnl,win_rate,sharpe
1,player_001,88.42,84560,65,0.88
2,player_002,86.73,702993,79,0.17
3,player_003,85.21,265137,71,0.20
4,player_004,85.00,580543,56,0.14
5,player_005,84.98,201338,72,0.16
6,player_006,84.81,44546,38,0.15
7,player_007,84.16,327129,52,0.12
8,player_008,84.11,70815,41,0.19
9,player_009,83.37,307330,87,0.08
10,player_010,83.02,283442,55,0.08
11,player_011,82.98,43605,46,0.10
12,player_012,82.79,388002,59,0.04
13,player_013,82.22,173645,42,0.03
14,player_014,82.13,160636,51,0.08
15,player_015,82.04,86393,81,0.08
16,player_016,81.95,33320,48,0.06
17,player_017,81.87,40473,41,0.11
18,player_018,81.40,74449,84,0.09
19,player_019,81.17,98163,55,0.02
20,player_020,81.15,67540,69,0.14
21,player_021,80.97,41841,80,0.07
22,player_022,80.85,150758,84,0.06
23,player_023,80.69,18590,54,0.10
24,player_024,80.48,48913,68,0.05
25,player_025,80.48,16334,52,0.12
26,player_026,79.27,11440,44,0.10
27,player_027,79.05,20956,44,0.04
28,player_028,78.70,40673,19,0.04
29,player_029,78.46,8459,36,0.15
30,player_030,78.31,26859,53,0.04
31,player_031,78.19,36200,31,0.08
32,player_032,77.83,9099,53,0.06
33,player_033,77.18,9754,39,0.08
34,player_034,76.98,17829,58,0.10
35,player_035,76.98,8206,45,0.06
36,player_036,76.46,5042,93,0.07
37,player_037,76.00,13829,82,0.00
38,player_038,75.99,7755,26,0.06
39,player_039,75.41,750,35,0.11
40,player_040,74.42,10725,24,0.04
41,player_041,73.99,243,38,0.05
42,player_042,73.91,1471,40,0.07
43,player_043,73.33,1799,58,0.07
44,me,73.23,50,53,0.09
45,player_044,72.74,1141,51,0.01
46,player_045,72.30,11138,38,-0.02
47,player_046,71.50,2647,77,0.02
48,player_047,71.48,3800,75,0.01
49,player_048,71.36,9549,62,-0.09
50,player_049,71.07,38419,57,0.00
51,player_050,67.22,23476,62,0.10
52,player_051,66.85,259,67,0.00
53,player_052,66.53,6837,64,-0.02
54,player_053,66.52,4141,41,-0.09
55,player_054,65.95,164,52,-0.01
56,player_055,65.35,172,76,-0.03
57,player_056,64.86,3289,63,-0.13
58,player_057,64.81,2107,52,-0.09
59,player_058,64.42,1814,89,-0.12
60,player_059,64.34,9557,100,0.09
61,player_060,61.75,3850,88,0.00
62,player_061,62.61,5392,100,-0.03
63,player_062,63.01,845,64,-0.02
64,player_063,57.72,174,50,0.00
65,player_064,57.14,135,100,0.00
66,player_065,56.56,18,50,0.06
67,player_066,55.78,11,50,0.00
68,player_067,55.70,0,38,0.00
69,player_068,55.41,0,100,0.00
70,player_069,55.12,0,100,0.00
71,player_070,54.84,0,100,0.00
72,player_071,34.09,-773,68,0.02
73,player_072,29.38,-22191,26,0.11
74,player_073,29.09,-847,59,-0.08
75,player_074,28.70,-2267,35,-0.03
76,player_075,28.35,-41260,65,0.13
77,player_076,27.76,-2240,47,-0.08
78,player_077,27.41,-5697,39,0.02
79,player_078,27.39,-1801,49,0.00
80,player_079,27.00,-3460,68,-0.07
81,player_080,26.92,-3144,31,-0.04
82,player_081,26.13,-3649,0,-0.10
83,player_082,25.51,-3922,62,-0.03
84,player_083,25.45,0,0,0.00
85,player_084,25.43,-51155,37,0.04
86,player_085,25.16,0,0,0.00
87,player_086,24.88,0,43,0.00
88,player_087,24.88,0,0,0.00
89,player_088,24.88,-5498,44,-0.13
90,player_089,24.59,-1,67,-0.04
91,player_090,24.53,-22619,62,0.04
92,player_091,24.30,-1,0,0.00
93,player_092,23.51,-7,,-0.07
94,player_093,23.15,-60,40,0.10
95,player_094,23.01,-1969,64,-0.10
96,player_095,22.94,-35,,-0.11
97,player_096,22.72,-11,,-0.15
98,player_097,22.57,-197,42,-0.06
99,player_098,22.30,-9976,28,-0.13
100,player_099,22.02,-9968,49,-0.12
101,player_100,21.71,-818,21,0.00
